Kundennummer;AccountErstellung;Alter;Geschlecht;PLZ;MonatlicherUmsatz;Rabatt;Aktivitätsindex;ErsterFilm;ZweiterFilm;DritterFilm;Vierter Film;FuenfterFilm;SechsterFilm;SiebterFilm;AchterFilm
45102595;04.03.2023;24;weiblich;;10;0;0,942537842;The Batman;Känguru-Chroniken;Valentinstag;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;Emily in Paris;
45102596;05.03.2023;18;weiblich;70173;10;0;0,502159533;The Batman;Känguru-Chroniken;;;;;;
45102597;06.03.2023;19;weiblich;70174;10;0;0,027517087;Känguru-Chroniken;;;;;;;
45102598;07.03.2023;20;weiblich;70173;15;0;0,498838016;The Batman;Känguru-Chroniken;;;;;;
45102599;08.03.2023;;;70176;15;0;0,256856454;The Batman;Känguru-Chroniken;;;;;;
45102600;09.03.2023;21;männlich;70176;15;0;0,852753436;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102601;10.03.2023;26;männlich;70174;5;0;0,2118261;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102602;11.03.2023;20;männlich;70176;5;0;0,700140562;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;;;;
45102603;12.03.2023;22;männlich;70176;5;0;0,552869093;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;Star Wars II;;;
45102604;13.03.2023;24;männlich;70173;5;0;0,012405569;Känguru-Chroniken;;;;Star Wars II;;;
45102605;14.03.2023;21;weiblich;70174;10;0;0,427495679;Känguru-Chroniken;;;;Star Wars II;;;
45102606;15.03.2023;20;männlich;70176;5;0;0,175886668;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102607;16.03.2023;22;männlich;70176;5;0;0,636433521;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102608;17.03.2023;24;männlich;70173;5;0;0,957061306;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102609;18.03.2023;21;weiblich;70174;10;0;0,157319872;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;;;;
45102610;19.03.2023;18;männlich;70173;15;0;0,612098797;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;;;;
45102611;20.03.2023;19;männlich;70174;15;0;0,839392489;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102612;21.03.2023;20;männlich;70173;15;0;0,053996177;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102613;22.03.2023;25;männlich;70174;15;0;0,818516757;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102614;23.03.2023;21;männlich;70176;10;0;0,809178012;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102615;24.03.2023;26;männlich;70176;10;0;0,452442023;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102616;25.03.2023;20;weiblich;70174;10;0;0,363580985;The Batman;Känguru-Chroniken;;;;;;
45102617;26.03.2023;22;weiblich;70176;15;0;0,226592918;Keinohrhasen ;Känguru-Chroniken;;;;;;
45102618;27.03.2023;25;männlich;70176;15;0;0,654448757;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102619;28.03.2023;21;männlich;70176;15;0;0,315690757;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;;;;
45102620;29.03.2023;26;männlich;70174;5;0;0,56805228;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102621;30.03.2023;20;männlich;70176;5;0;0,415482623;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102622;31.03.2023;22;männlich;70176;5;0;0,703703659;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102623;01.04.2023;24;männlich;70173;5;0;0,629480731;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102624;02.04.2023;21;weiblich;70174;10;0;0,854373443;Känguru-Chroniken;;;;;;;
45102625;03.04.2023;20;männlich;70176;5;0;0,355160826;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102626;04.04.2023;18;;70173;10;0;0,571646512;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;Star Wars II;;;
45102627;05.04.2023;19;weiblich;70174;10;0;0,874662922;The Batman;Känguru-Chroniken;Valentinstag;;Star Wars II;;;
45102628;06.04.2023;20;weiblich;70173;15;0;0,125190141;The Batman;Känguru-Chroniken;;;Star Wars II;;;
45102629;07.04.2023;18;männlich;70173;15;0;0,010095693;Känguru-Chroniken;;;;;;;
45102630;08.04.2023;19;männlich;70174;15;0;0,033949547;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102631;09.04.2023;20;männlich;70173;15;0;0,795633095;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102632;10.04.2023;25;männlich;70174;15;0;0,77088653;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102633;11.04.2023;;männlich;70176;10;0;0,12014718;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102634;12.04.2023;26;männlich;70176;10;0;0,184443885;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;Star Wars II;fluch der karibik ;;
45102635;13.04.2023;20;weiblich;70174;10;0;0,250711332;Känguru-Chroniken;Keinohrhasen ;;;;fluch der karibik ;;
45102636;14.04.2023;22;weiblich;70176;15;0;0,391908134;Känguru-Chroniken;;;;;fluch der karibik ;;
45102637;15.04.2023;25;männlich;70176;15;0;0,587906167;Känguru-Chroniken;;;;;;;
45102638;16.04.2023;21;männlich;70176;15;0;0,610651015;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102639;17.04.2023;26;männlich;70174;5;0;0,323779651;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102640;18.04.2023;20;männlich;70176;5;0;0,265829606;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102641;19.04.2023;22;männlich;70176;5;0;0,61344665;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;fluch der karibik ;;
45102642;20.04.2023;24;männlich;70173;5;0;0,153468404;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;Star Wars II;fluch der karibik ;;
45102643;21.04.2023;21;weiblich;70174;10;0;0,249920421;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;Star Wars II;fluch der karibik ;;
45102644;22.04.2023;20;männlich;70176;5;0;0,297177659;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102645;23.04.2023;22;männlich;70176;5;0;0,093334681;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102646;24.04.2023;24;männlich;70173;5;0;0,259372019;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102647;25.04.2023;21;weiblich;70174;10;0;0,744507324;Transformers;Kung Fu Panda;Valentinstag;Titanic;;;;
45102648;26.04.2023;18;männlich;70173;15;0;0,610659856;Transformers;Kung Fu Panda;;;;;;
45102649;27.04.2023;19;männlich;70174;15;0;0,270377908;Transformers;Kung Fu Panda;;;;;;
45102650;28.04.2023;18;weiblich;70173;10;0;0,478066354;Transformers;Kung Fu Panda;Valentinstag;Titanic;;;;
45102651;29.04.2023;19;weiblich;70174;10;0;0,425588611;Kung Fu Panda;;;;;;;
45102652;30.04.2023;20;weiblich;70173;15;0;0,803924566;Kung Fu Panda;;;;;;;
45102653;01.05.2023;26;männlich;70176;10;0;0,390560459;Kung Fu Panda;;;;;;;
45102654;02.05.2023;20;weiblich;70174;10;0;0,710779764;The Batman;Känguru-Chroniken;Valentinstag;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;;
45102655;03.05.2023;22;weiblich;70176;15;0;0,365988826;The Batman;Känguru-Chroniken;Valentinstag;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;Emily in Paris;
45102656;04.05.2023;25;männlich;70176;15;0;0,638963088;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102657;05.05.2023;21;männlich;70176;15;0;0,186208727;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102658;06.05.2023;26;männlich;70174;5;0;0,225566297;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;;;;
45102659;07.05.2023;20;männlich;70176;5;0;0,324168367;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102660;08.05.2023;22;männlich;70176;5;0;0,440726962;Känguru-Chroniken;;;;Star Wars II;mandalorian ;fluch der karibik ;
45102661;09.05.2023;24;männlich;70173;5;0;0,603207145;Känguru-Chroniken;;;;Star Wars II;mandalorian ;fluch der karibik ;
45102662;10.05.2023;21;weiblich;70174;10;0;0,937245145;The Batman;Känguru-Chroniken;Valentinstag;Titanic;;Sissi;Emily in Paris;
45102663;11.05.2023;20;männlich;70176;5;0;0,200136527;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102664;12.05.2023;22;männlich;70176;5;0;0,815213951;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102665;13.05.2023;24;männlich;70173;5;0;0,700757894;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102666;14.05.2023;21;weiblich;70174;10;0;0,13765033;Känguru-Chroniken;Keinohrhasen ;Tatsächlich... Liebe;;Star Wars II;mandalorian ;fluch der karibik ;
45102667;15.05.2023;18;männlich;70173;15;0;0,696910442;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102668;16.05.2023;19;männlich;70174;15;0;0,318602606;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102669;17.05.2023;20;männlich;70173;15;0;0,371633264;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102670;18.05.2023;25;männlich;70174;15;0;0,519277426;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102671;19.05.2023;21;männlich;70176;10;0;0,252443634;Känguru-Chroniken;;;;;;;
45102672;20.05.2023;26;männlich;70176;10;0;0,67413595;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;;;
45102673;21.05.2023;20;weiblich;70174;10;0;0,841240556;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;;;;
45102674;22.05.2023;22;weiblich;70176;15;0;0,577885693;The Batman;Känguru-Chroniken;;;;;;
45102675;23.05.2023;24;weiblich;70176;10;0;0,706533501;The Batman;Känguru-Chroniken;;;;;;
45102676;24.05.2023;18;weiblich;70173;10;0;0,547874514;Känguru-Chroniken;;;;;;;
45102677;25.05.2023;19;weiblich;70174;10;0;0,215546555;The Batman;Känguru-Chroniken;Valentinstag;Titanic;;;;
45102678;26.05.2023;20;weiblich;70173;15;0;0,005907894;The Batman;Känguru-Chroniken;Valentinstag;Titanic;;Sissi;;
45102679;27.05.2023;24;weiblich;70176;10;0;0,743035966;The Batman;Känguru-Chroniken;Valentinstag;Titanic;Star Wars II;Sissi;Emily in Paris;
45102680;28.05.2023;18;weiblich;70173;10;0;0,794969829;The Batman;Känguru-Chroniken;Valentinstag;Titanic;Star Wars II;Sissi;Emily in Paris;
45102681;29.05.2023;19;weiblich;70174;10;0;0,053872505;Känguru-Chroniken;Keinohrhasen ;Tatsächlich... Liebe;;Star Wars II;Emily in Paris;;
45102682;30.05.2023;20;weiblich;70173;15;0;0,378722023;Känguru-Chroniken;Keinohrhasen ;;;;;;
45102683;31.05.2023;24;weiblich;70176;10;0;0,899496079;Känguru-Chroniken;;;;;;;
45102684;01.06.2023;18;weiblich;70173;10;0;0,44187387;Känguru-Chroniken;;;;;;;
45102685;02.06.2023;19;weiblich;70174;10;0;0,698165261;The Batman;Känguru-Chroniken;Valentinstag;;;;;
45102686;03.06.2023;20;weiblich;70173;15;0;0,807556357;Keinohrhasen ;Känguru-Chroniken;Valentinstag;;;;;
45102687;04.06.2023;24;weiblich;70176;10;0;0,96315936;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;Sissi;Emily in Paris;;
45102688;01.01.2023;18;männlich;70173;15;0;0,672123352;Känguru-Chroniken;;;;;;;
45102689;02.01.2023;19;männlich;70174;15;0;0,683359106;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102690;03.01.2023;20;männlich;70173;15;0;0,480403844;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102691;04.01.2023;25;männlich;70174;15;0;0,580400282;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102692;05.01.2023;21;männlich;70176;10;0;0,918749171;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;;;;
45102693;06.01.2023;26;männlich;70176;10;0;0,310849685;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102694;07.01.2023;20;weiblich;70174;10;0;0,941167854;Keinohrhasen ;Känguru-Chroniken;;;Star Wars II;mandalorian ;fluch der karibik ;
45102695;08.01.2023;22;weiblich;70176;15;0;0,738831883;The Batman;Känguru-Chroniken;;;Star Wars II;mandalorian ;fluch der karibik ;
45102696;09.01.2023;24;weiblich;70176;10;0;0,616415597;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;;Emily in Paris;;
45102697;10.01.2023;18;weiblich;70173;10;0;0,03181653;Känguru-Chroniken;;;;;;;
45102698;11.01.2023;19;weiblich;70174;10;0;0,950273648;Keinohrhasen ;Känguru-Chroniken;;;Star Wars II;;;
45102699;12.01.2023;20;weiblich;70173;15;0;0,35606464;Keinohrhasen ;Känguru-Chroniken;;;Star Wars II;;;
45102700;13.01.2023;25;männlich;70176;15;0;0,155249063;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;;
45102701;14.01.2023;21;männlich;70176;15;0;0,800829658;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102702;15.01.2023;26;männlich;70174;5;0;0,994991553;Känguru-Chroniken;;;;;mandalorian ;;
45102703;16.01.2023;20;männlich;70176;5;0;0,72234898;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102704;17.01.2023;22;männlich;70176;5;0;0,230232398;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102705;18.01.2023;24;männlich;70173;5;0;0,611351921;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102706;19.01.2023;21;weiblich;70174;10;0;0,887097813;The Batman;Känguru-Chroniken;;;Star Wars II;mandalorian ;fluch der karibik ;
45102707;20.01.2023;18;männlich;70173;15;0;0,05261361;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;;;;
45102708;21.01.2023;19;männlich;70174;15;0;0,354045655;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;;;;
45102709;22.01.2023;20;männlich;70173;15;0;0,283014198;Känguru-Chroniken;;;;Star Wars II;;;
45102710;23.01.2023;25;männlich;70174;15;0;0,247217948;Känguru-Chroniken;;;;Star Wars II;;;
45102711;24.01.2023;21;männlich;70176;10;0;0,169430197;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;;;
45102712;25.01.2023;26;männlich;70176;10;0;0,844677753;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102713;26.01.2023;20;weiblich;70174;10;0;0,280137795;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;;Emily in Paris;;
45102714;27.01.2023;22;weiblich;70176;15;0;0,860840831;Star Trek;Känguru-Chroniken;;;;;;
45102715;28.01.2023;24;weiblich;70176;10;0;0,933868487;Transformers;Kung Fu Panda;;;;;;
45102716;29.01.2023;18;weiblich;70173;10;0;0,36208981;Transformers;Kung Fu Panda;;;;;;
45102717;30.01.2023;19;weiblich;70174;10;0;0,663193172;Transformers;Kung Fu Panda;;;Star Wars II;;;
45102718;31.01.2023;20;weiblich;70173;15;0;0,503024247;Transformers;Kung Fu Panda;;;;;;
45102719;01.02.2023;25;männlich;70176;15;0;0,556098195;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;;;;
45102720;02.02.2023;21;männlich;70176;15;0;0,181103524;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;fluch der karibik ;;;
45102721;03.02.2023;26;männlich;70174;5;0;0,953860783;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;fluch der karibik ;;;
45102722;04.02.2023;20;männlich;70176;5;0;0,540445908;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;fluch der karibik ;;;
45102723;05.02.2023;22;männlich;70176;5;0;0,867330024;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;;;;
45102724;06.02.2023;24;männlich;70173;5;0;0,657222011;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;;;
45102725;07.02.2023;21;weiblich;70174;10;0;0,751034401;Kung Fu Panda;Transformers;;;Star Wars II;;;
45102726;08.02.2023;20;männlich;70176;5;0;0,497278965;Transformers;Kung Fu Panda;;;Star Wars II;;;
45102727;09.02.2023;22;männlich;70176;5;0;0,74668446;Transformers;Kung Fu Panda;;;;;;
45102728;10.02.2023;24;männlich;70173;5;0;0,474336558;Transformers;Kung Fu Panda;;;Star Wars II;;;
45102729;11.02.2023;21;weiblich;70174;10;0;0,095941472;Transformers;Kung Fu Panda;;;Star Wars II;;;
45102730;12.02.2023;18;männlich;70173;15;0;0,384103771;Transformers;Kung Fu Panda;;;;;;
45102731;13.02.2023;19;männlich;70174;15;0;0,16807922;Transformers;Kung Fu Panda;;;;;;
45102732;14.02.2023;20;männlich;70173;15;0;0,839180964;Transformers;Kung Fu Panda;;;;;;
45102733;15.02.2023;25;männlich;70174;15;0;0,314387507;Transformers;Kung Fu Panda;;;;;;
45102734;16.02.2023;21;männlich;70176;10;0;0,675875192;Kung Fu Panda;;;;;;;
45102735;17.02.2023;26;männlich;70176;10;0;0,031304381;Kung Fu Panda;;;;Star Wars II;;;
45102736;18.02.2023;20;weiblich;70174;10;0;0,401534467;Kung Fu Panda;;;;;;;
45102737;19.02.2023;22;weiblich;70176;15;0;0,467548116;Kung Fu Panda;;;;;;;
45102738;20.02.2023;24;weiblich;70176;10;0;0,607283143;Kung Fu Panda;;;;;;;
45102739;21.02.2023;18;weiblich;70173;10;0;0,987152002;Kung Fu Panda;;;;;;;
45102740;22.02.2023;19;weiblich;70174;10;0;0,501717983;Transformers;Kung Fu Panda;;;;;;
45102741;23.02.2023;20;weiblich;;15;0;0,540621721;Transformers;Kung Fu Panda;;;;;;
45102742;24.02.2023;24;weiblich;70176;10;0;0,506273592;Kung Fu Panda;Transformers;;;Star Wars II;;;
45102743;25.02.2023;18;weiblich;70173;10;0;0,781650199;Kung Fu Panda;Transformers;;;Star Wars II;;;
45102744;26.02.2023;19;weiblich;70174;10;0;0,397633405;Kung Fu Panda;Transformers;;;Star Wars II;;;
45102745;27.02.2023;;weiblich;70173;15;0;0,557496974;Kung Fu Panda;Transformers;;;;;;
45102746;28.02.2023;24;weiblich;70176;10;0;0,374979074;Kung Fu Panda;Transformers;;;;;;
45102747;01.03.2023;18;weiblich;70173;10;0;0,179383119;Kung Fu Panda;Transformers;;;;;;
45102748;02.03.2023;19;weiblich;70174;10;0;0,157050475;Kung Fu Panda;Transformers;;;;;;
45102749;03.03.2023;20;weiblich;70173;15;0;0,706576867;Transformers;Kung Fu Panda;;;;;;
45102750;04.03.2023;24;weiblich;70176;10;0;0,411547929;Transformers;Kung Fu Panda;;;;;;
45102751;05.03.2023;18;weiblich;70173;10;0;0,625765939;Transformers;Kung Fu Panda;;;;;;
45102752;06.03.2023;19;weiblich;70174;10;0;0,346899537;Transformers;Kung Fu Panda;;;;;;
45102753;07.03.2023;20;weiblich;70173;15;0;0,039506545;Transformers;Kung Fu Panda;;;;;;
45102754;08.03.2023;25;männlich;70176;15;0;0,751303845;Transformers;Kung Fu Panda;;;;;;
45102755;09.03.2023;21;männlich;70176;15;0;0,226052629;Transformers;Kung Fu Panda;;;;;;
45102756;10.03.2023;26;männlich;70174;5;0;0,193608686;Transformers;Kung Fu Panda;;;;;;
45102757;11.03.2023;20;männlich;70176;5;0;0,817092237;Kung Fu Panda;;;;;;;
45102758;12.03.2023;22;männlich;70176;5;0;0,127968489;Kung Fu Panda;;;;;;;
45102759;13.03.2023;24;männlich;70173;5;0;0,210703521;Kung Fu Panda;;;;;;;
45102760;14.03.2023;21;weiblich;70174;10;0;0,685188137;Transformers;Kung Fu Panda;;;;;;
45102761;15.03.2023;20;männlich;70176;5;0;0,277427836;Transformers;Kung Fu Panda;;;;;;
45102762;16.03.2023;22;männlich;70176;5;0;0,559263656;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;mandalorian ;;;
45102763;17.03.2023;24;männlich;70173;5;0;0,778871097;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;;;;
45102764;18.03.2023;21;weiblich;70174;10;0;0,252887265;Kung Fu Panda;Transformers;;;;;;
45102765;19.03.2023;18;männlich;70173;15;0;0,884809251;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;fluch der karibik ;;
45102766;20.03.2023;19;männlich;70174;15;0;0,515822972;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;fluch der karibik ;;
45102767;21.03.2023;20;männlich;70173;15;0;0,432319996;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;fluch der karibik ;;
45102768;22.03.2023;25;männlich;70174;15;0;0,115367173;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;;;;
45102769;23.03.2023;21;männlich;70176;10;0;0,589630415;Transformers;Kung Fu Panda;;;;;;
45102770;24.03.2023;26;männlich;70176;10;0;0,570478716;Transformers;Kung Fu Panda;;;Star Wars II;;;
45102771;25.03.2023;20;weiblich;70174;10;0;0,496677624;Transformers;Kung Fu Panda;;;Star Wars II;;;
45102772;26.03.2023;22;weiblich;70176;15;0;0,004428913;Transformers;Kung Fu Panda;;;Star Wars II;;;
45102773;27.03.2023;25;männlich;70176;15;0;0,535958052;Transformers;Kung Fu Panda;;;;;;
45102774;28.03.2023;21;männlich;70176;15;0;0,1683783;Transformers;Kung Fu Panda;;;;;;
45102775;29.03.2023;26;männlich;70174;5;0;0,522232443;Transformers;Kung Fu Panda;;;;;;
45102776;30.03.2023;20;männlich;70176;5;0;0,989292315;Transformers;Kung Fu Panda;;;;;;
45102777;31.03.2023;22;männlich;70176;5;0;0,184268267;Kung Fu Panda;;;;;;;
45102778;01.04.2023;24;männlich;70173;5;0;0,863895095;Kung Fu Panda;;;;Star Wars II;;;
45102779;02.04.2023;21;weiblich;70174;10;0;0,021641856;Kung Fu Panda;;;;;;;
45102780;03.04.2023;20;männlich;70176;5;0;0,915984319;Transformers;Kung Fu Panda;;;;;;
45102781;04.04.2023;;weiblich;70173;10;0;0,32562219;Transformers;Kung Fu Panda;;;;;;
45102782;05.04.2023;19;weiblich;;10;0;0,766131714;Kung Fu Panda;Transformers;;;;;;
45102783;06.04.2023;20;weiblich;70173;15;0;0,552382436;Kung Fu Panda;Transformers;;;;;;
45102784;07.04.2023;18;männlich;70173;15;0;0,992251981;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;;;;
45102785;08.04.2023;19;männlich;70174;15;0;0,552351604;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;;;
45102786;09.04.2023;;männlich;70173;15;0;0,841367328;Kung Fu Panda;Transformers;;;Star Wars II;;;
45102787;10.04.2023;25;männlich;70174;15;0;0,855698835;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;;;
45102788;11.04.2023;21;männlich;70176;10;0;0,823969401;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;mandalorian ;;;
45102789;12.04.2023;26;männlich;70176;10;0;0,388409773;Transformers;Kung Fu Panda;;;Star Wars II;;;
45102790;13.04.2023;20;weiblich;70174;10;0;0,878127733;Transformers;Kung Fu Panda;;;Star Wars II;;;
45102791;14.04.2023;22;weiblich;70176;15;0;0,754838808;Transformers;Kung Fu Panda;;;;;;
45102792;15.04.2023;25;männlich;70176;15;0;0,981773104;Transformers;Kung Fu Panda;;;;;;
45102793;16.04.2023;21;männlich;70176;15;0;0,19328634;Transformers;Kung Fu Panda;;;;;;
45102794;17.04.2023;26;männlich;70174;5;0;0,508639038;Transformers;Kung Fu Panda;;;;;;
45102795;18.04.2023;20;männlich;70176;5;0;0,57232787;Transformers;Kung Fu Panda;;;;;;
45102796;19.04.2023;22;männlich;70176;5;0;0,865667747;Transformers;Kung Fu Panda;;;;;;
45102797;20.04.2023;24;männlich;70173;5;0;0,667423408;Kung Fu Panda;;;;;;;
45102798;21.04.2023;21;weiblich;70174;10;0;0,470189466;Kung Fu Panda;;;;;;;
45102799;22.04.2023;20;männlich;70176;5;0;0,942627912;Kung Fu Panda;;;;;;;
45102800;23.04.2023;22;männlich;70176;5;0;0,819844761;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;mandalorian ;;;
45102801;24.04.2023;24;männlich;70173;5;0;0,079335578;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;mandalorian ;;;
45102802;25.04.2023;21;weiblich;70174;10;0;0,653984296;Keinohrhasen ;Känguru-Chroniken;;;;;;
45102803;26.04.2023;18;männlich;70173;15;0;0,58768256;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;;;
45102804;27.04.2023;19;männlich;70174;15;0;0,757905813;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;;
45102805;28.04.2023;18;weiblich;70173;10;0;0,623063863;Keinohrhasen ;Känguru-Chroniken;;;Star Wars II;;;
45102806;29.04.2023;19;weiblich;70174;10;0;0,852962493;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;;Sissi;;
45102807;30.04.2023;20;weiblich;70173;15;0;0,345624906;The Batman;Känguru-Chroniken;;;;;;
45102808;01.05.2023;26;männlich;70176;10;0;0,937882205;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;;
45102809;02.05.2023;20;weiblich;70174;10;0;0,774003236;Känguru-Chroniken;;;;Star Wars II;;;
45102810;03.05.2023;22;weiblich;70176;15;0;0,403370751;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;Star Wars II;;;
45102811;04.05.2023;25;männlich;70176;15;0;0,132881421;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102812;05.05.2023;21;männlich;70176;15;0;0,707099333;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102813;06.05.2023;26;männlich;70174;5;0;0,664007324;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102814;07.05.2023;20;männlich;70176;5;0;0,521470305;Känguru-Chroniken;;;;;;;
45102815;08.05.2023;22;männlich;70176;5;0;0,41851541;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102816;09.05.2023;24;männlich;70173;5;0;0,306020681;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;fluch der karibik ;;
